Date,Narration,Chq/Ref,Withdrawal (Dr),Deposit (Cr),Balance
01-04-2024,OPENING BALANCE,,,0,125000.00
03-04-2024,NEFT-CR-MRF TYRES LTD SALE,UTR240403001,,85000.00,210000.00
05-04-2024,UPI-DR-SHOP RENT APR,RENT0405,18000.00,,192000.00
08-04-2024,IMPS-DR-MRF TYRES PURCHASE,UTR240408002,62000.00,,130000.00
10-04-2024,CHG-BANK CHARGES QTR,CHG001,590.00,,129410.00
15-04-2024,NEFT-CR-CUSTOMER RAMESH AUTO,UTR240415003,,42000.00,171410.00
18-04-2024,GST PAYMENT CGST IGST APR24,GST240418,14000.00,,157410.00
22-04-2024,SALARY NEFT STAFF APR24,SAL240422,35000.00,,122410.00
25-04-2024,UPI-DR-AYYAN PROPRIETOR DRAW,DRAW001,15000.00,,107410.00
28-04-2024,NEFT-CR-SALE GOODS,UTR240428004,,95000.00,202410.00
30-04-2024,CC INTEREST APR24,INT240430,3200.00,,199210.00
